trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",30,17,0.49132151522485246,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,16,10.130501256952964,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,9,-22.089716686399072,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,15,-4.321744816308676,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,13,23.8571502912295,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,0,-20.442226072713822,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,9,19.47727625396477,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,16,7.6384487684419184,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,6,23.355051124870258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,10,3.8633365991686732,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,10,17.23286214061639,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",35,18,32.194129039154255,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,8,-6.530938003966606,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,10,17.526043276842138,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,15,1.0972287451294334,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",30,22,13.16943325872218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
